Date,Price,Open,High,Low,Vol.,Change %
8-Mar-17,35.37,37.91,38.45,35,1.02K,-6.7
7-Mar-17,37.91,40.4,40.6,36.72,1.33K,-6.16
6-Mar-17,40.4,39.5,40.4,37.6,1.46K,2.28
5-Mar-17,39.5,41.85,41.85,39.01,0.82K,-5.62
4-Mar-17,41.85,41.88,43.77,40,1.09K,-0.07
3-Mar-17,41.88,39.81,42.68,38.12,2.14K,5.2
2-Mar-17,39.81,41.7,42.8,38.55,3.03K,-4.53
1-Mar-17,41.7,37.16,41.9,36.98,2.89K,12.22
28-Feb-17,37.16,36.8,38.7,34,3.55K,0.98
27-Feb-17,36.8,29.49,38.4,29.48,4.72K,24.79
26-Feb-17,29.49,29.05,30.29,28.57,0.47K,1.51
25-Feb-17,29.05,30.22,30.97,28.51,0.52K,7.59
24-Feb-17,27,27,27,27,0,0
23-Feb-17,27,27.01,27.43,26.32,0.36K,-0.04
22-Feb-17,27.01,30.08,30.33,27.01,1.09K,-10.21
21-Feb-17,30.08,31.25,31.25,29.8,0.51K,-3.74
20-Feb-17,31.25,30.57,31.4,30.4,0.44K,2.22
19-Feb-17,30.57,30.8,31.39,30.57,0.43K,-0.75
18-Feb-17,30.8,32.1,32.49,30.71,0.49K,-4.05
17-Feb-17,32.1,32.71,33.08,31.11,0.48K,-1.86
16-Feb-17,32.71,33.83,34.53,32.68,0.51K,-3.31
15-Feb-17,33.83,32.57,34.53,31.21,0.85K,3.87
14-Feb-17,32.57,30.54,33,30.2,1.11K,6.65
13-Feb-17,30.54,31.54,31.8,30.14,0.89K,-3.17
12-Feb-17,31.54,32.71,32.73,31.5,0.24K,-3.58
11-Feb-17,32.71,32.84,33.6,32.2,0.44K,-0.4
10-Feb-17,32.84,33.15,33.39,31.86,0.38K,-0.94
9-Feb-17,33.15,34.94,35.68,31,2.17K,-5.12
8-Feb-17,34.94,36,36.5,34.01,2.01K,-2.94
7-Feb-17,36,37.08,37.22,35.01,0.95K,-2.91
6-Feb-17,37.08,37.5,37.95,36.83,0.52K,-1.12
5-Feb-17,37.5,38.87,39.1,37.5,0.64K,-3.52
4-Feb-17,38.87,38.22,39.37,38,0.36K,1.7
3-Feb-17,38.22,39.24,39.3,37.4,0.74K,-2.6
2-Feb-17,39.24,39.69,39.87,38.9,0.32K,-1.13
1-Feb-17,39.69,39.45,40.5,38.93,0.35K,0.61
31-Jan-17,39.45,39.85,40.4,38.76,0.60K,-1
30-Jan-17,39.85,38.31,40.4,38.26,0.21K,4.02
29-Jan-17,38.31,38,41.5,38,0.50K,0.82
28-Jan-17,38,37.94,38.8,37.87,0.13K,0.16
27-Jan-17,37.94,37.76,39.98,37.26,1.01K,0.48
26-Jan-17,37.76,39.68,41.65,37.11,0.96K,-4.84
25-Jan-17,39.68,41,41.85,39.13,0.63K,-3.22
